,,,,,,,,,,,,,,,
,↓7/11〜新プラン案,,,,,,,,,,,,,,
,パック名,"パック料金
（支払金額）","クレジット
（使える金額）",ボーナス率,固定,,携帯,,,,,,,,
,,,,,単価/秒,利益率,単価/秒,利益率,,,,,,,
★,"IP 20,000","¥20,000","¥20,500",2.50%,¥0.0585,31.67%,¥0.2439,30.30%,裏プラン,※積極的に提案しない,,,,,
,"IP 50,000","¥50,000","¥55,000",10.00%,¥0.0545,26.67%,¥0.2273,25.20%,※大和不動産,,,,,,
,"IP 100,000","¥100,000","¥112,500",12.50%,¥0.0533,25.00%,¥0.2222,23.50%,,,,,,,
,"IP 500,000","¥500,000","¥575,000",15.00%,¥0.0522,23.33%,¥0.2174,21.80%,,,,,,,
★,"IP 1,000,000","¥1,000,000","¥1,150,000",15.00%,¥0.0522,23.33%,¥0.2174,21.80%,裏プラン,※積極的に提案しない,,,,,
,,,,,,,,,,,,,,,
,レギュレーション,・パック購入の契約期間はLeadサービス契約期間に合わせる,,,,,,,,,,,,,
,,　└初年度は月割り,,,,,,,,,,,,,
,,　└月払いオンリー、年払いディスカウントはしない,,,,,,,,,,,,,
,,・パック料金はインセンティブ算出対象に含まない。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,↓新プラン案,,,,,,,,,,,,,,
,パック名,"パック料金
（支払金額）","プレミア込み金額
（使える金額）",プレミア率,固定,,携帯,,,,,,,,
,,,,,単価/秒,利益率,単価/秒,利益率,,,,,,,
★,"IP 20,000","¥20,000","¥20,500",2.50%,¥0.0585,31.67%,¥0.2439,30.30%,裏プラン,※積極的に提案しない,,,,,
,"IP 50,000","¥50,000","¥55,000",10.00%,¥0.0545,26.67%,¥0.2273,25.20%,,,,,,,
,"IP 100,000","¥100,000","¥115,000",15.00%,¥0.0522,23.33%,¥0.2174,21.80%,,,,,,,
,"IP 500,000","¥500,000","¥600,000",20.00%,¥0.0500,20.00%,¥0.2083,18.40%,,,,,,,
,,,,,,,,,,,,,,,
,レギュレーション,・パック購入の契約期間はLeadサービス契約期間に合わせる,,,,,,,,,,,,,
,,　└初年度は月割り,,,,,,,,,,,,,
,,　└月払いオンリー、年払いディスカウントはしない,,,,,,,,,,,,,
,,・パック料金はインセンティブ算出対象に含まない。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,↓現行,,,,,,,,,,,,,,
,月額パック（固定宛時間相当）,パック料金,固定,,携帯,,,,,固定,携帯,,,,
,,,料金/秒,利益率,料金/秒,利益率,↓新料金プラン移行先,,原価（1秒あたり）,0.04円,0.17円,,,,
,PACK50,"¥10,000",0.06,33.33%,0.25,32.00%,,,売価（1秒あたり）,0.06円,0.25円,,,,
,PACK 100,"¥20,000",0.0556,28.06%,0.2472,31.23%,20000,,利益率,33.33%,32.00%,,,92.67%,7.33%
,,,,#DIV/0!,,#DIV/0!,50000,,,,,,,0.00%,100.00%
,PACK 500,"¥95,000",0.0528,24.24%,0.24,29.17%,100000,,,,,,,88.00%,12.00%
,PACK 1000,"¥188,000",0.0522,23.37%,0.2375,28.42%,,,,,,,,,
,PACK 2000,"¥372,000",0.0517,22.63%,0.235,27.66%,,,,,,,,,
,PACK 3000,"¥552,000",0.0511,21.72%,0.2325,26.88%,500000,,,,,,,,
,PACK 4000,"¥729,000",0.0506,20.95%,0.23,26.09%,,,,,,,,,
,PACK 5000,"¥901,000",0.0501,20.16%,0.2275,25.27%,,,,,,,,,
,PACK 6000,"¥1,069,000",0.0495,19.19%,0.225,24.44%,1000000,,,,,,,,
,PACK 7000,"¥1,234,000",0.049,18.37%,0.2225,23.60%,,,,,,,,,
,PACK 8000,"¥1,394,000",0.0484,17.36%,0.22,22.73%,,,,,,,,,
,PACK 9000,"¥1,550,000",0.0478,16.32%,0.2175,21.84%,,,,,,,,,
,PACK 10000,"¥1,683,000",0.0468,14.53%,0.2125,20.00%,,,,,,,,,